Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
42.0,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",CAMBIEMOS,61.13,38.87,7654,4867,83.6,15226,12729,1.02,0.02,0.6,130,2,76,BUENOS AIRES
43.0,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",CAMBIEMOS,62.73,37.27,1244,739,82.34,2457,2023,0.94,0.0,1.04,19,0,21,BUENOS AIRES
44.0,BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",CAMBIEMOS,59.1,40.9,4379,3030,80.97,9360,7579,0.63,0.03,1.58,48,2,120,BUENOS AIRES
45.0,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",CAMBIEMOS,63.65,36.35,1854,1059,81.04,3660,2966,0.84,0.03,0.91,25,1,27,BUENOS AIRES
46.0,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",CAMBIEMOS,57.53,42.47,7538,5564,78.97,16849,13305,1.02,0.0,0.5,136,0,67,BUENOS AIRES
47.0,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",CAMBIEMOS,53.76,46.24,4278,3679,86.53,9348,8089,1.43,0.04,0.16,116,3,13,BUENOS AIRES
48.0,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",CAMBIEMOS,54.29,45.71,4304,3624,84.94,9509,8077,1.34,0.01,0.5,108,1,40,BUENOS AIRES
49.0,BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",CAMBIEMOS,56.63,43.37,226078,173170,77.3,531707,411034,1.3,0.08,1.49,5331,345,6110,BUENOS AIRES
50.0,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",FRENTE PARA LA VICTORIA,45.09,54.91,23839,29033,82.36,65553,53988,0.95,0.03,1.08,514,17,585,BUENOS AIRES
51.0,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",CAMBIEMOS,50.46,49.54,127174,124868,81.98,316181,259200,1.55,0.08,1.13,4010,213,2935,BUENOS AIRES
52.0,BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",CAMBIEMOS,56.82,43.18,6939,5274,82.25,15147,12459,1.27,0.03,0.67,158,4,84,BUENOS AIRES
53.0,BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",CAMBIEMOS,68.6,31.4,12927,5917,79.39,24181,19197,1.03,0.03,0.78,197,6,150,BUENOS AIRES
54.0,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",CAMBIEMOS,50.96,49.04,4136,3980,79.9,10361,8278,1.0,0.02,0.93,83,2,77,BUENOS AIRES
55.0,BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",CAMBIEMOS,55.42,44.58,4379,3523,82.44,9706,8002,0.86,0.04,0.35,69,3,28,BUENOS AIRES
56.0,BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",CAMBIEMOS,53.89,46.11,3250,2781,78.03,7830,6110,0.7,0.02,0.57,43,1,35,BUENOS AIRES
57.0,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",FRENTE PARA LA VICTORIA,46.81,53.19,54324,61732,83.26,143144,119186,1.28,0.1,1.25,1523,114,1493,BUENOS AIRES
58.0,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",FRENTE PARA LA VICTORIA,49.76,50.24,55833,56381,84.29,136958,115441,1.93,0.08,0.78,2232,91,904,BUENOS AIRES
59.0,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",FRENTE PARA LA VICTORIA,33.56,66.44,54325,107560,83.02,199130,165308,0.89,0.05,1.13,1473,83,1867,BUENOS AIRES
60.0,BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",CAMBIEMOS,52.28,47.72,7018,6406,81.12,16951,13750,1.02,0.03,1.32,140,4,182,BUENOS AIRES
61.0,BUENOS AIRES_JUNIN,"Junin, Buenos Aires",CAMBIEMOS,58.68,41.32,35014,24657,79.85,76521,61100,1.33,0.02,0.99,811,13,605,BUENOS AIRES
62.0,BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",CAMBIEMOS,56.29,43.71,27152,21087,79.18,62350,49366,1.09,0.08,1.12,536,38,553,BUENOS AIRES
63.0,BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",CAMBIEMOS,58.02,41.98,236351,170994,82.3,512116,421467,1.98,0.07,1.3,8356,305,5461,BUENOS AIRES
64.0,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",FRENTE PARA LA VICTORIA,48.34,51.66,144916,154863,82.9,371080,307618,1.64,0.07,0.84,5051,204,2584,BUENOS AIRES
65.0,BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",FRENTE PARA LA VICTORIA,49.38,50.62,3637,3729,81.86,9135,7478,0.74,0.03,0.74,55,2,55,BUENOS AIRES
66.0,BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",CAMBIEMOS,58.41,41.59,9654,6875,82.39,20492,16883,1.24,0.02,0.84,209,3,142,BUENOS AIRES
67.0,BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",CAMBIEMOS,52.12,47.88,5406,4967,85.67,12312,10548,1.16,0.0,0.5,122,0,53,BUENOS AIRES
68.0,BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",CAMBIEMOS,53.5,46.5,6309,5484,82.11,14585,11976,0.89,0.01,0.63,106,1,76,BUENOS AIRES
